GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Smart Examination Anti-Cheating System,com.examseating.anticheating.model,Student,146,21,30,0,2,4,23,4,8,4
Smart Examination Anti-Cheating System,com.examseating.anticheating.model,Seat,181,46,30,2,4,6,25,9,10,8
Smart Examination Anti-Cheating System,com.examseating.anticheating.model,ExamHall,151,97,28,10,3,21,24,13,10,8
Smart Examination Anti-Cheating System,com.examseating.anticheating.model,RiskLevel,9,55,0,4,3,12,3,5,3,3
Smart Examination Anti-Cheating System,com.examseating.anticheating.repository,HallRepository,36,8,0,0,8,2,6,1,6,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.controller,SeatingController,662,0,38,0,146,0,38,0,18,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.controller,HallController,108,6,4,0,27,1,9,1,7,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.controller,ExportController,74,4,2,0,19,1,2,1,1,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.config,OpenAPIConfig,0,25,0,0,0,9,0,2,0,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.config,CorsConfig,0,65,0,0,0,9,0,2,0,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,SeatDTO,255,0,36,0,9,0,36,0,18,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,RiskAnalysisDTO,272,0,28,0,11,0,36,0,22,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,StudentDTO,167,0,30,0,6,0,27,0,12,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,ErrorResponse,215,0,34,0,20,0,32,0,15,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,SeatAllocationResponse,209,0,36,0,6,0,33,0,15,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,SeatingRequestDTO,125,0,22,0,5,0,21,0,10,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,SeatingResponseDTO,223,0,24,0,9,0,30,0,18,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,SeatAllocationRequest,192,0,30,0,6,0,30,0,15,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.dto,HallDTO,185,0,22,0,8,0,27,0,16,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,CSVParsingException,8,17,0,0,3,7,1,3,1,3
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,CSVRowValidationException,8,11,0,0,3,4,1,2,1,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,StudentOverflowException,21,0,0,0,4,0,2,0,2,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,HallNotFoundException,19,0,0,0,4,0,2,0,2,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,InvalidHallConfigurationException,21,0,0,0,4,0,2,0,2,0
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,InvalidCSVStructureException,5,4,0,0,2,2,1,1,1,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,DuplicateStudentException,0,11,0,0,0,4,0,2,0,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,GlobalExceptionHandler,201,7,0,0,39,2,12,2,12,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.exception,EmptyCSVException,4,4,0,0,2,2,1,1,1,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,HallManagementService,11,474,3,33,2,91,3,27,0,12
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,RiskDetectionService,26,544,5,49,5,100,6,30,1,7
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,PDFExportService,4,475,3,11,0,79,3,11,0,6
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,SeatingOptimizationDemoService,351,7,13,0,75,2,13,2,6,2
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,SeatAllocationService,12,574,8,56,3,90,8,33,0,9
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,HallManagementService.HallCapacity,0,9,0,0,0,4,0,1,0,1
Smart Examination Anti-Cheating System,com.examseating.anticheating.service,CSVService,55,269,6,26,11,55,6,18,0,8
Smart Examination Anti-Cheating System,com.examseating.anticheating,AntiCheatingApplication,5,3,0,0,2,1,1,1,1,1
